battle_id,name,pokemon_id,type,primary_type,pokemon_class,attack,defense,speed,hp,effectiveness,opponent_id,opponent_name,opponent_primary_type,attack_first,is_winner
1,Pheromosa,795,Bug,Bug,Normal,137,37,151,71,0.5,123,Scyther,Bug,True,True
1,Scyther,123,Bug,Bug,Normal,110,80,105,70,0.5,795,Pheromosa,Bug,False,False
2,Scyther,123,Bug,Bug,Normal,110,80,105,70,0.5,214,Heracross,Bug,True,True
2,Heracross,214,Bug,Bug,Normal,125,75,85,80,0.5,123,Scyther,Bug,False,False
3,Scyther,123,Bug,Bug,Normal,110,80,105,70,0.5,794,Buzzwole,Bug,True,True
3,Buzzwole,794,Bug,Bug,Normal,139,139,79,107,0.5,123,Scyther,Bug,False,False
4,Scyther,123,Bug,Bug,Normal,110,80,105,70,0.5,649,Genesect,Bug,True,True
4,Genesect,649,Bug,Bug,Mythical,120,95,99,71,0.5,123,Scyther,Bug,False,False
5,Scyther,123,Bug,Bug,Normal,110,80,105,70,0.5,589,Escavalier,Bug,True,True
5,Escavalier,589,Bug,Bug,Normal,135,105,20,70,0.5,123,Scyther,Bug,False,False
6,Durant,632,Bug,Bug,Normal,109,112,109,58,0.5,123,Scyther,Bug,True,True
6,Scyther,123,Bug,Bug,Normal,110,80,105,70,0.5,632,Durant,Bug,False,False
7,Scyther,123,Bug,Bug,Normal,110,80,105,70,1.0,635,Hydreigon,Dark,True,True
7,Hydreigon,635,Dark,Dark,Normal,105,90,98,92,2.0,123,Scyther,Bug,False,False
8,Scyther,123,Bug,Bug,Normal,110,80,105,70,1.0,359,Absol,Dark,True,True
8,Absol,359,Dark,Dark,Normal,130,60,75,65,2.0,123,Scyther,Bug,False,False
9,Scyther,123,Bug,Bug,Normal,110,80,105,70,1.0,861,Grimmsnarl,Dark,True,True
9,Grimmsnarl,861,Dark,Dark,Normal,120,65,60,95,1.0,123,Scyther,Bug,False,False
10,Scyther,123,Bug,Bug,Normal,110,80,105,70,1.0,717,Yveltal,Dark,True,True
10,Yveltal,717,Dark,Dark,Legendary,131,95,99,126,1.0,123,Scyther,Bug,False,False
11,Zoroark,571,Dark,Dark,Normal,105,60,105,60,2.0,123,Scyther,Bug,False,True
11,Scyther,123,Bug,Bug,Normal,110,80,105,70,1.0,571,Zoroark,Dark,False,False
12,Scyther,123,Bug,Bug,Normal,110,80,105,70,1.0,430,Honchkrow,Dark,True,True
12,Honchkrow,430,Dark,Dark,Normal,125,52,71,100,1.0,123,Scyther,Bug,False,False
13,Scyther,123,Bug,Bug,Normal,110,80,105,70,1.0,799,Guzzlord,Dark,True,True
13,Guzzlord,799,Dark,Dark,Normal,101,53,43,223,2.0,123,Scyther,Bug,False,False
14,Scyther,123,Bug,Bug,Normal,110,80,105,70,1.0,643,Reshiram,Dragon,True,True
14,Reshiram,643,Dragon,Dragon,Legendary,120,100,90,100,0.5,123,Scyther,Bug,False,False
15,Scyther,123,Bug,Bug,Normal,110,80,105,70,1.0,644,Zekrom,Dragon,True,True
15,Zekrom,644,Dragon,Dragon,Legendary,150,120,90,100,1.0,123,Scyther,Bug,False,False
16,Scyther,123,Bug,Bug,Normal,110,80,105,70,1.0,445,Garchomp,Dragon,True,True
16,Garchomp,445,Dragon,Dragon,Normal,130,95,102,108,1.0,123,Scyther,Bug,False,False
17,Scyther,123,Bug,Bug,Normal,110,80,105,70,1.0,384,Rayquaza,Dragon,True,True
17,Rayquaza,384,Dragon,Dragon,Legendary,150,90,95,105,0.5,123,Scyther,Bug,False,False
18,Scyther,123,Bug,Bug,Normal,110,80,105,70,1.0,621,Druddigon,Dragon,True,True
18,Druddigon,621,Dragon,Dragon,Normal,120,90,48,77,1.0,123,Scyther,Bug,False,False
19,Scyther,123,Bug,Bug,Normal,110,80,105,70,1.0,612,Haxorus,Dragon,True,True
19,Haxorus,612,Dragon,Dragon,Normal,147,90,97,76,1.0,123,Scyther,Bug,False,False
20,Dragapult,887,Dragon,Dragon,Normal,120,75,142,88,0.5,123,Scyther,Bug,True,True
20,Scyther,123,Bug,Bug,Normal,110,80,105,70,1.0,887,Dragapult,Dragon,False,False
21,Scyther,123,Bug,Bug,Normal,110,80,105,70,2.0,880,Dracozolt,Electric,True,True
21,Dracozolt,880,Electric,Electric,Normal,100,90,75,90,1.0,123,Scyther,Bug,False,False
22,Scyther,123,Bug,Bug,Normal,110,80,105,70,2.0,405,Luxray,Electric,True,True
22,Luxray,405,Electric,Electric,Normal,120,79,70,80,1.0,123,Scyther,Bug,False,False
23,Zeraora,807,Electric,Electric,Mythical,112,75,143,88,1.0,123,Scyther,Bug,True,True
23,Scyther,123,Bug,Bug,Normal,110,80,105,70,2.0,807,Zeraora,Electric,False,False
24,Scyther,123,Bug,Bug,Normal,110,80,105,70,2.0,466,Electivire,Electric,True,True
24,Electivire,466,Electric,Electric,Normal,123,67,95,75,1.0,123,Scyther,Bug,False,False
25,Zebstrika,523,Electric,Electric,Normal,100,63,116,75,1.0,123,Scyther,Bug,True,True
25,Scyther,123,Bug,Bug,Normal,110,80,105,70,2.0,523,Zebstrika,Electric,False,False
26,Scyther,123,Bug,Bug,Normal,110,80,105,70,2.0,604,Eelektross,Electric,True,True
26,Eelektross,604,Electric,Electric,Normal,115,80,50,85,1.0,123,Scyther,Bug,False,False
27,Scyther,123,Bug,Bug,Normal,110,80,105,70,2.0,881,Arctozolt,Electric,True,True
27,Arctozolt,881,Electric,Electric,Normal,100,90,55,90,1.0,123,Scyther,Bug,False,False
28,Scyther,123,Bug,Bug,Normal,110,80,105,70,1.0,700,Sylveon,Fairy,True,True
28,Sylveon,700,Fairy,Fairy,Normal,65,65,60,95,0.5,123,Scyther,Bug,False,False
29,Zacian Hero,888,Fairy,Fairy,Legendary,130,115,138,92,0.5,123,Scyther,Bug,True,True
29,Scyther,123,Bug,Bug,Normal,110,80,105,70,1.0,888,Zacian Hero,Fairy,False,False
30,Scyther,123,Bug,Bug,Normal,110,80,105,70,1.0,683,Aromatisse,Fairy,True,True
30,Aromatisse,683,Fairy,Fairy,Normal,72,72,29,101,0.5,123,Scyther,Bug,False,False
31,Scyther,123,Bug,Bug,Normal,110,80,105,70,1.0,716,Xerneas,Fairy,True,True
31,Xerneas,716,Fairy,Fairy,Legendary,131,95,99,126,0.5,123,Scyther,Bug,False,False
32,Scyther,123,Bug,Bug,Normal,110,80,105,70,1.0,671,Florges,Fairy,True,True
